target,text
1,"@EmilyAllTimeLow oh, okay, cool"
0,@YOUNGCLASSIK smh.....too emotional 4 stuff like that right now man......wut a way to show it
0,@lokeuei there goes my daily dose of coke
0,Just got a speeding ticket
1,gracing her closet with all the Newyork city shopping
1,@Croutonff5 you've got a real bad luck with throwing up recently
1,@sam890060 You're welcome - glad it was useful!
0,"@abcoutts  i cant work it out , i confused"
1,A split is so gay..for my jj people a split is real job lingo for FML
0,study island.
0,@robertorubell  aww love you just dont get it  so sad God means so much to me and all who say (i love Jesus) dont be mad ok
0,lil trickstahh prolly the last ghetto name of the night  i didnt feel like writing it ghetto ;p
1,@insilico_naomi *waving back!* Cooking swine flu meatballs
1,@MomsNotAll Yay for alone time (at the grocery store).  Crazy how our priorities change
1,"doing Rock Band on the guitar, the solo tour on expert, keeps things interesting."
0,ohh s**t... drop by 2  94. blogratings.com
1,"@rhythmnation eating cheese &amp; pate, drinking Pinot grigio, overlooking the harbour..... life is too good"
1,"@NancyHightower Congrats on the phone! I recently assigned mine to Twitter. It certainly makes it more addictive -- I mean, interesting."
0,"My mom is driving and prefers country music, and it is making the drive to Birmingham last longer"
0,is waiting in Luton to leave.. I'll miss London town..  ps. YouTube's Miranda + guests in concert was halarious!! X
0,"@AnotherJulia yes, know what u mean  u never know the mood of person the other end"
0,Thanks to all the Twitter excitement from @dorionbet. I got no sleep last nite. going straight to bed when I leave work. No gym tonight
1,@lisam75 FANTASTIC  WELL DONE! i bet you're chuffed ;)
1,@Jaaaavier ok you go first
0,Just got an E-Mail and it sounds like two of my favorite guests have split up  They appeared to be so happy...
1,@JaylaStarr my mouth is desiring your wetness now baby. (LOTION!!!!)
1,@psychmaster10 o ok.  u gotta get nice so u can shorten ya shit.  be nice like me
1,First friday tonight  anybody wanna go?
1,@twandaforce I know I'm enjoying this muchly
0,help! I signed up for Daily Twittascope and I can't unsubscribe!  Anyone know how I can do this?
0,"Ick!! I'm cleaning my Beta bowls for Indy and Ollie tonight.  They're both so cute, but their bowls are...  well... you know..."
1,"@weava77 Sorry to hear about your unruly furniture/displaced DKs. Was great fun last night and I got callers, so had lots of company!"
1,@mhcranberry ahh and was that evan longoria!?  nice pics
1,"oh boy, i have really missed soccer. can't wait for my practice tomorrow."
1,@lildevilmama their favorite is the spicy tuna roll. I just go for the terryaki and tempura.
1,ok im going to take a nap at the studio.. until 6 am and head out to the airport  gnight tweet
1,Is extreamly happy!  I can't help but smile
0,@l0nwlf is using me as Love  $%##@$
1,@peter_ramone hey !  is this gwen stefany? http://twitgoo.com/d3wg
1,@randomname09 hey love!!!  have a good night!
1,be sure to tell your Mom you love her and thank her for putting up with you!
1,"@thewoodyshow just a note.. if someone kept hearing WOODY SHOW every ten minutes by the live 105 booth while no name was on, it was me"
0,me sad only 6 days left  I'm gonna miss my buddy so much and all my senior friends I'm gonna cry
0,Stranded. Four beautiful girls. At michigans. Wth are we to do now?
1,is still working on this dumb art project! haha but oh well almost finished
1,Prepared
1,4... you..  @scarletmandy LOL! ? http://blip.fm/~78tfk
0,@juliaxsears  meee too!
1,I`m back  !  Talk to me . (: I`ve been on re.view.me for like EVER
0,"nervous for tomorrow, all alone"
1,Headin to work on dis beautiful day...in such a good mood
1,Going back to the river!  Gonna get some sun today...it is HOT.
1,@alyciaaa I miss you. can't wait for tonight haha
1,@SandraLopulalan ja erg he - Saab 3 of zo....  Honda Hybrid is de topper these days
0,i want Anoop to wish me Happy Birthday
1,@anidifranco Happy Mother's Day
0,@januaryseraph   Stop staying up so late.  Please?
1,@LovelyLu  did you catch Nani -the -surfer gurl? hope so
1,@ladymisssusan aww ur sweet. I'm trying  kind of doubt urself after a failed 3yr relationship....someday though
1,@Mrs_Picard Yay! Sonnets are beautiful and i bet yours will be beautiful too
0,@ninaamour      i would go out but you know what happened and i don't think i'm up to it just yet!!
1,on my way home  now playing : Two As One - From First To Last
1,Google added our Bing Custom Google Toolbar Button to their gallery  http://bit.ly/FfFwf
1,I love ABC for showing Harry Potter on Saturdays.
0,she turn out fine. at least she didn't annoy me. doing malay hw at 11.09PM. I don't know for what reason but i kinda miss hannah
1,Goodnight ! Sweet dreams everyone
0,@betsymartian
0,Babyshowerington with mom dukie while I'm hungover and sick
1,nothing special
1,Exams r over!
0,@RandomFocus01 Hi there - we're back - they cancelled the carboot love
0,The iPhone stole my contacts
0,Can't wait 4 my sweetie 2 finish this job. I feel just awful.
1,graaciiass   ajaj and you're really close to be like rachel mcadams  http://lookbook.nu/look/146613
1,@Farrhad Sweet dude! Looking forward to hearing your response.
1,Or maybe gatorade. That might be good too. But only the red kind.
1,@chilany ME TOO! See ya there! Haha!
0,"On my way to the subway from Dance Parade, the Astor Place Street Fair with this: http://tinyurl.com/pyh4j6 I was too tired to eat"
0,*sigh* why do we continuously let them walk out? All I can do is just be a good friend
0,"Took some shots for my boy Chi, I'm trying hard not to cry cuz he was the sweetes.  I'm gonna miss him"
1,Tink! Good morning tweethearts! Happy Birthday to me!!
0,@macmark http://twitpic.com/7ty1z - i doh like dis pic  i look fat
1,@mellownights947 pahabol! Hi to kim! And to both of you! Thanks!
1,@sejjy yay someone else has twitter!!!
1,LETS RAVE IN PARIS! SKIING WAS COOL IN FRANCE STILL SKIING
1,Margarita Monday! With Mayra
0,"Really HATE being allergic to pollen! Today is not going to be as planned. - I have to stay inside, at home!"
0,"Back in the Bay Area, and back at work."
0,slept today for 3 hours ruined my study time  grr watta nerd
1,@krustifer Good luck with anything that helps!
0,@christinaxobaby thinking of you...	 I miss you .. I need you but your not talking with  me anymore.. so im sad
1,listening to 'rodeo' by sido and peter fox: verrrrrrry nice
1,@Billy Please could you rewrite the Blondie song &quot;Maria&quot; so instead of &quot;Maria&quot; it is &quot;Katrina&quot; or &quot;Christina&quot;? Please
0,catching up on #diggnation episodes. new @revision3 website rocks. But the episodes keep freezing  checked my connection but seems fine.
1,"Spent the afternoon at Crown Point with family.  Sun, burgers, and swings.   #fb"
1,"@shaundiviney can i kick it for them? i joke, i joke ;) well i'm looking forward to it anyways"
1,@SailorSu btw.. I Can bake - although probably not on the first try  and I wish there were a lookbook for Europe or Swedish stores!!
1,garage sale in the morning..then sushi with a friend at night  awwww summerrr
1,"@MyCheMicALmuse oh sweetness thanks for checking my blog out, i need to update! That is awesome and i will be sure to do so in return!"
0,OMGPOP is too addictive. I haven't done any school work tonight. Although I don't know if I'm going to school tomorrow... I'l sick..
1,downloading me some music.
0,So many books and not enough time to read :sigh:
0,Home with poorly baby girl
1,"It's not even 1130 and I'm soo ready for bed. Such a long, but good, day"
0,"@scarydan Oh, lame.  Well, we've got non-awkward dinner on Tuesday night!"
0,What's with all these plane accidents. A pilot just died during flight. Now I'm really scared to get on a plane.
1,woow i love &quot;fly with me&quot; cant wait till june 16th!
1,@Mootsie yes they are fun  I was at that level for a couple of years.  OK I am off to teach them something
1,@louisebolotin  I've never understood what handsome means... I quite enjoyed Torchwood but the teeth became too much for me!
0,famished. no food here
1,"Busy all day trying to restore Outlook 2007 on Vista. Finally had to uninstall, remove from registry, boot and reinstall. I miss Unix."
0,So I just went to move my car and there were ants all around my car. I hate ants. Now I feel like they're crawling all over me.
0,@ajbee
1,"@Kikirowr And that's all you need! Baby steps, hun!  And, of course, confidence is the 'ultimate fashion accessory.' XD ?"
1,"@GrowHuge Thank you, Good to have you as a new friend as well"
1,#3hotwords naked zac efron ....
0,Iss sad bc nick ant textn me
1,@OllyPO woop woop I'm loving them! Can u load up the high-resol version on ur MobileMe gallery so I can download them? Thanx
0,"we splatted a bunny today, completely flat it was, horrible"
0,Season Finale of the Hills !!!
0,"Pretty much feel like the worst parent ever. Taking Devin to a party with other greyhounds, but have to leave poor Jack at home."
0,"anyone see blood, sweat and takeways? - the poor little fish"
0,Aw  youtube.com/watch?v=Ji7ROGont3Q
0,Can anyone reccomend a good haze machine for my disco lights? My last smoke machine's just died  Shame they can't smoke in pubs anymor ...
0,@nachosauruz I so wanted that shirt
0,I feel like crap.
0,@steamrunner I may need pointing in the right direction after cider. Not very good at drinking
0,@_Telenovela I saw this message too late.  Thank you. I should actually start checking this more often.
1,"@ThWrex thanks! I'm feeling A LOT better today, no pain at all. Whoo! My immune system knows what the fuck is up, man"
1,"@MJ Congratulations! Welcome to the world, Amelia."
0,i need to raise my GPA.  I just calculated my science GPA and looked at average dental school GPAs...it so depressing
1,@benjibum you common?  i dont think so. have you not seen where you live.  also you have  tiny dog like all the posh people.
0,has not been on twitter for awhile..  hanging out with the grandmother today
1,a little bit of reading my bible and some time with God and it's all good now
1,"@Sabbyaz no problem, thats where u'll usually find jerry, so have at him..."
0,@SUMOSKILL sad sad little boy
0,@RimaDarling what u gonna say tho he wont let u go.
1,ross noble is really funny
1,"@RobinWalker A few choice from you, I would think those choice words could write a novel"
1,@Danacea I won't be able to make that one but it looks like I'll be seeing you at the Phoenix later this week
1,@GinoandFran i would definitely flash a big smile and introduce myself to my crush
1,"@mileycyrus look @ it this way: &quot;Imitation is the sincerest form of flattering&quot;. u can't stop ppl pretending, i guess they just love you!"
0,Hey @itsmskay sorry about your headahce
0,iLOveYew Titi . Come Back frOm flOrida  . Ill See You In July . Atleast Were cominq back the same day &lt;3
0,@Janettex3 i dont know  it wont let me upload! D:
1,Brekkies in a mo...so I say a few quick hellos
1,is excited about picture-taking with the rest of KASES and Jeneill today
1,"&quot;when you see the beauty around you,let each detail remind you to lift your head in praise&quot; ...just got home"
0,Feels like such an ass for not just trusting her best friend and listening to that idiot woman! I'm superdy sorry. ILoveYouLotsh!
0,@DonGQ  ima stop by tho... thats mad niggas lol  im by myself
0,so so so so bored....cnt sleep
0,@kendallalleycat - ughh kendall that suckss
0,ready to get rollin!! Kinda shitty seats tho!
1,Hubby tried to help me lol
1,@donniewahlberg i love you. Like seriously. You made my whole life at buffalo. UK in the house. Safe travellin baby
0,wonders pano naging 0.00 load ko when kanina i still have 70 plus! (doh)  http://plurk.com/p/13tekx
0,@CHIPPEWA09 I wanna have a drink too.
1,"We haven't got school on Thursday and Friday, right?  Awesome!"
0,"Considering Phoenix in mid October, Lisbon in late October and slated fro California in August. Missing the Patty Loveless Lyon concert"
0,"@mileycyrus sure, i really wanna go but its too far  Like u ;)"
1,"@rottenbeard haha, I offered to make it but he insisted!  enjoy dominos, think I'll have it for dinner"
0,Slept the whole day again. Unproductive.
1,"heeeello tweets!  I woke up so late, because last night I slept soo late, past 4am :|"
0,so freekin bored  not long till my partyy - cant wait (L) badly need a holiday  !
0,@davidbadash Whoa..! Hope no one is hurt too badly!!!
0,@Mommykins41 well I'll be working mon-thurs
1,@MissRosalieH - I dont have a Rosalie yet .... will u be my Rosalie
0,Leaving Maine on 95 @ Kennebunk. Don't want to leave
0,Four hour ride home back to tennessee  10am work out in the morning.
0,"Clover is getting arthritis in her back, the vet said.  http://apps.facebook.com/catbook/profile/view/6082331"
0,Ugh...I HATE rude people..........
1,"stiinasteenjust bought an entire outfit shoes,top,jeans,and accessories for 36 dollars  can you say supershopperhaha"
1,"@KimKardashian aw. haha. where do you work right now, at your family's shop?"
0,oww my head hurts
0,MY PICTURE BROKE
0,Ooh my followers are increasing in numbers - Thank you Britney Fucked Vids (who was good enough to follow me twice!)
1,@photo_goddess and Bert would be quite a comfort to me too...
1,"exams were easy, school was good, me &amp; jer just had mcdonalds"
1,@TanyaDenalii What? Edward is to big of a chicken to go shopping with me:p ask Bella I bet she wants a break lol
0,did u forget about us?
1,Now son is making *snow eggs* -- using plastic Easter eggs as snowball molds.  Maybe we can have a snow egg fight.
0,Misses ben all ready  and andy too.
1,Going to the park someday today for this http://www.marionartsfestival.com/ should be fun if anyone is in the area
1,"@JonathanRKnight ..uuuups today is mother day???....sh***....iï¿½ve forgot it, my work doesnï¿½t have a end *sigh*....thank you for remind it"
1,"night people, night tweeters of twitterville."
0,"doesnt want 2 get outta bed, but needs 2 get ready 2 go work"
1,@SchofieldFans I'll sign wen I get home from work.
0,http://twitpic.com/6pha7 - 19fischi75 ok - but me still sad!
0,Craving the smell of the vaccum  trying to fill that craving with something else... ANy ideas
1,"@TheShawnShawnie heh, thanks"
0,then the 5 AM cheeseburger killed me but it was worth dying. Maryam is flying back to NY though..
0,@vKnouseM Isn't that the greatest?   Alex has been trying to sneak into the street a lot recently. I hate his sudden rebellious streak.
0,i miss my bae! 2 bad he's clubbin.
1,making love with my doritos now
0,@callamKAPOW I tried to change it but the pic was to big and I can't find the old one
1,#Detroit there's a rainbow over Belle Isle right now
0,Definitely coming down with a cold. Ironic because it is finally nice out
0,@laura_milkteeth I hate you
0,@Bluiish Good cause I never know when I creep people out.
1,"Watching the afc. I would really love to have my own cafï¿½ someday. Next year, maybe?"
1,@spkr4thedead51 My user name makes many people giggle   It goes with the name of my blog.
0,just watched @LaurenConrad last episode of The Hills....  sad times!!
1,"Well, it yas pissing down when i went to bed, and it's still pissing down now! Good old british summertime!"
0,theres too much light pollution to see the stars
1,Checking the TwilightVampire ranks.Be back tomorrow.Luv u all!
0,Great. The one day it's not supposed to rain and there's no way in hell I can go to the pool
1,@MelanieBrandt Sounds like it was quite the gala... I have good memories of when we got to go a few years back.  Great getting tux'ed up
0,@simikn frick! its sooo gay outside!  is it raining?? it was a minute ago  x
1,another new placebo song
0,@asexiness  That sucks!
0,@amydibble that is the same thing
1,"@TheGlossophile If you'd like to send me a copy of your notes, I'll credit you if I quote them in a paper or something."
1,"@ellaeslajirafa &quot;?&quot;(dai)=blackish green,&quot;?&quot;(si)=silk,so&quot;??&quot; is silk of blackish green color,i hope you like it"
0,is incapable of uploading a picture to twitter
0,Just got back from town! Got something for fathers day. Stupid weather its raining now
1,Still awake!  Some people are going to wake up to full inboxes in the morning. Ha!
0,im not feeling like getting myself in motion to go to work...
0,Nakende nonderju! I did NOT prepare myself and my bike to get soaked wet by this stupid rain
0,Looks like I will be awake for awhile thanks to sleeping all night......flu bug
1,"@Yorksville love the Kooks, so many good tracks, especially the first album..."
0,filling timeee
1,@krstinlynn yep we're packin stuff now!..and lots of change for the vending machines
1,With two of my faveys! Round 2 fa me!
1,Weeeeeeeekeeeeeeend!  Have a gr8 weekend y'all!
0,@lalahhathaway Helping my cousin with her college algebra!
0,"My flight back to O-town has been delayed until 8:20pm MST, meaning I won't get in until 2:30am.    Who needs sleep anyway?  Oh wait I do!"
0,"@gregorylent Nah, www.itweet.net is a website and at the moment one of the few possibilities to use Twitter in China  Fuckers!"
1,getting ready for bed...The Color Purple tomorrow night!
1,"Getting hella drunk on a cruise boat atm, all for you @perzbenz wish u were here!!!"
0,"@laughingchance sorry missed your show on AICR radio last night Jack, teach me for sleeping in"
1,@AllieSweets aww thanks babe!  I needed that! it's so HOT here!!
0,weather sucks today
0,so the big news is that LifeLock and @PhoenixMercury have branded jerseys? Congratz! I was hoping for the ASG instead
